Commodity Date;Gold Price ($);Gold Change Points (%);Silver Price ($);Silver Change Points (%);Petrol Price ($);Petrol Change Points (%)
2020-12-02;1809.86;2.4731;23.5912;7.344;44.08;-2.2616
2020-11-28;1787.79;-1.1391;22.5739;-2.723;45.53;1.0655
2020-11-26;1811.32;0.1183;23.4047;0.3129;46.0;1.2993
2020-11-23;1873.02;0.1085;24.2515;0.3127;42.35;-0.165
2020-11-21;1870.99;0.3567;24.1759;0.3945;42.42;1.6535
2020-11-20;1864.34;-0.3368;24.0809;-0.9929;41.73;0.2643
2020-11-15;1889.2;0.0;24.67;0.0;40.13;0.0
2020-11-14;1889.2;0.5279;24.67;1.7689;40.13;-0.3724
2020-11-08;1951.35;0.0;25.612;0.0;37.14;0.0
2020-11-05;1908.13;0.7301;24.1241;2.1602;38.43;0.9721
2020-11-02;1883.64;0.2571;23.9814;1.3725;34.65;-3.1852
2020-10-30;1874.64;-0.2065;23.4308;0.3426;36.56;-2.4286
2020-10-29;1878.52;-1.403;23.3508;-3.9978;37.47;-3.0028
2020-10-27;1908.77;0.5007;24.5102;0.6893;38.75;-1.2236
2020-10-16;1906.79;0.4726;24.2665;0.3171;40.76;-0.6823
2020-10-11;1930.4;0.0;25.1539;0.0;40.6;0.0
2020-10-06;1910.59;0.5621;24.3031;1.3478;39.33;4.3236
2020-10-03;1899.84;0.1666;23.7361;0.4622;37.05;-3.2637
2020-09-26;1861.58;-0.2053;22.8885;0.0682;40.25;-0.3466
2020-09-22;1910.86;-2.1487;24.5774;-8.7312;39.57;-3.5349
2020-09-21;1952.82;0.1005;26.9286;0.538;41.02;-0.2189
2020-12-15;1832.47;-0.4011;24.0023;0.2163;46.78;0.4509
2020-12-13;1839.85;0.0;23.9505;0.0;46.57;0.0
2020-12-20;1881.35;0.0479;25.8112;0.1288;49.1;1.8039
2020-12-29;1883.46;0.0;25.8297;0.0;48.23;0.0
2020-12-30;1883.46;0.0;25.8297;0.0;48.23;0.0
2020-12-31;1883.46;0.0;25.8297;0.0;48.23;0.0
2021-01-05;1939.51;0.9226;27.3026;0.7651;47.76;-2.2913
2021-01-08;1912.09;-1.5853;27.0809;-0.5863;51.13;1.9541
2021-01-11;1834.84;-0.7664;24.7142;-2.7896;52.11;-0.2489
2021-01-15;1852.59;0.6941;25.6465;1.6907;53.55;1.4205
2021-02-08;1811.03;-2.6877;26.9615;5.5166;57.4;9.6676
2021-02-19;1769.53;-0.7705;26.6845;-2.7356;58.92;-4.9677
2021-03-05;1694.14;-2.2503;25.2525;-5.399;64.46;7.4512
2021-03-07;1700.64;0.3837;25.2463;-0.0246;66.09;2.5287
2021-04-10;1743.88;-0.641;25.2655;-0.6832;59.32;-0.7363
2021-04-27;1775.37;-0.6919;26.0907;-0.3224;62.2;0.6961
2021-05-11;1837.04;0.2182;27.3292;-1.455;64.51;-1.6466
2021-05-13;1821.13;-0.4161;27.1753;-0.6602;65.69;0.5203
2021-05-14;1823.78;0.1455;26.959;-0.7959;63.53;-3.2882
2021-05-17;1849.13;0.3092;27.5828;0.5835;65.54;0.2601
2021-05-20;1872.39;0.358;27.6185;-1.2754;63.49;-1.9611
2021-05-21;1872.21;-0.0096;27.6857;0.2433;62.0;-2.3468
2021-05-27;1894.06;-0.6009;27.5407;-2.3591;65.92;-0.3025
2021-05-28;1894.66;0.0317;27.7567;0.7843;67.24;2.0024
2021-06-03;1898.78;0.0;27.8133;0.0;68.04;0.0
2021-06-06;1891.59;1.5957;27.7933;1.7633;69.62;1.6796
2021-06-08;1898.83;0.7193;27.8604;0.9416;68.67;-0.9091
2021-06-09;1892.61;-0.3276;27.6103;-0.8977;70.34;2.4319
2021-06-14;1863.72;-0.7355;27.7378;-0.6437;71.21;0.4231
2021-06-15;1860.78;-0.1577;27.6249;-0.407;71.22;0.014
2021-06-16;1854.52;-0.3364;27.6299;0.0181;72.79;2.2044
2021-06-17;1823.59;-1.6678;27.1147;-1.8646;71.41;-1.8959
2021-07-01;1771.23;0.4378;26.1734;1.192;73.65;0.0951
2021-07-05;1787.84;0.0302;26.5535;0.3098;74.98;-0.2395
2021-07-06;1797.34;0.5314;26.5895;0.1356;76.66;2.2406
2021-07-07;1801.06;0.207;26.173;-1.5664;73.28;-4.4091
2021-07-14;1804.39;0.0;25.8794;0.0;72.85;0.0
2021-07-18;1804.39;0.0;25.8794;0.0;72.85;0.0
2020-12-04;1844.66;0.8358;24.0897;0.8131;46.44;2.6979
2020-11-16;1896.32;0.3769;25.006;1.362;40.66;1.3207
2020-11-06;1941.86;1.7677;25.2941;4.8499;38.14;-0.7546
2020-10-25;1902.05;0.0;24.607;0.0;39.85;0.0
2020-10-21;1917.81;1.0831;25.0602;2.7171;41.45;2.3962
2020-10-18;1899.29;0.0;24.1577;0.0;40.88;0.0
2020-10-04;1899.84;0.0;23.7361;0.0;37.05;0.0
2020-10-01;1888.35;-0.3462;23.4895;-2.3565;40.23;3.0746
2020-09-20;1950.86;0.0;26.7845;0.0;41.11;0.0
2020-09-17;1947.28;-0.4555;26.945;-1.0514;39.87;2.6519
2020-09-15;1962.93;0.6848;27.3577;1.5678;37.36;-0.3468
2020-09-10;1944.51;0.8998;27.0081;1.5762;37.83;3.8145
2020-09-08;1926.99;-0.7075;26.8427;-0.9257;39.1;-0.5848
2020-12-28;1883.46;0.0;25.8297;0.0;48.23;0.0
2021-01-14;1839.82;-0.4179;25.2201;0.4985;52.8;1.1107
2021-03-10;1712.87;1.5275;25.8041;2.1868;63.65;-2.5417
2021-04-13;1734.01;-0.2864;24.8979;-0.9197;59.8;0.5042
2021-04-15;1736.03;0.1165;25.3787;1.9311;62.91;5.2007
2021-04-16;1761.3;1.4556;25.7751;1.5619;63.39;0.763
2021-04-29;1789.83;1.0701;26.4701;1.7365;64.21;2.343
2021-04-30;1767.63;-1.2403;25.9098;-2.1167;64.66;0.7008
2021-05-02;1769.13;0.0849;25.9169;0.0274;63.58;-1.6703
2021-05-24;1886.15;0.2605;27.71;0.5279;64.08;0.7864
2021-05-25;1873.7;-0.6601;27.5741;-0.4904;66.19;3.2928
2021-06-02;1898.78;-0.7796;27.8133;-1.5092;68.04;0.7254
2021-06-11;1899.52;0.7575;28.0131;1.2381;69.96;0.8505
2021-07-04;1787.3;0.5214;26.4715;1.7086;75.16;-0.1594
2021-07-08;1800.14;-0.0511;25.9595;-0.8157;71.66;-2.2107
2021-07-13;1804.39;0.0;25.8794;0.0;72.85;0.0
2020-12-08;1867.59;1.5386;24.6765;2.2034;45.41;-1.454
2020-12-07;1839.29;0.0234;24.1445;-0.1675;46.08;-0.3891
2020-11-30;1766.18;-1.2088;21.9772;-2.6433;45.1;-0.9444
2020-11-27;1808.39;-0.1618;23.2058;-0.8498;45.05;-2.0652
2020-11-25;1809.18;-0.7113;23.3317;0.0811;45.41;4.535
2020-11-19;1870.64;-0.4136;24.3224;-0.356;41.62;0.9949
2020-11-18;1878.41;-0.6784;24.4093;-1.4367;41.21;-0.8899
2020-11-13;1879.28;0.4903;24.2412;-0.2728;40.28;-3.6364
2020-11-04;1894.3;-0.0554;23.614;-2.0731;38.06;3.5365
2020-10-31;1878.81;0.2224;23.6567;0.9641;35.79;-2.1061
2020-10-26;1899.26;-0.1467;24.3424;-1.0753;39.23;-1.5558
2020-10-24;1902.05;-0.1685;24.607;-0.0175;39.85;-2.0162
2020-10-12;1924.79;-0.2906;25.2997;0.5796;40.34;-0.6404
2020-10-08;1887.36;0.3974;23.8392;1.8795;40.03;0.351
2020-09-28;1862.14;0.0301;22.9204;0.1394;40.11;-0.3478
2020-09-23;1903.09;-0.4066;24.2369;-1.3854;39.51;-0.1516
2020-12-18;1880.45;0.8798;25.778;2.1166;48.23;0.0207
2020-12-25;1883.46;0.1122;25.8297;0.0717;48.23;-1.7719
2021-01-01;1898.67;0.8076;26.4011;2.2122;48.52;0.6013
